1,S,1
0.5,S,2
0.4,S,3
0.4,S,4
0.4,S,5
1,S,6
0.4,S,7
0.5,M,0
2,M,1
1,S,3
0.4,S,4
0.4,S,5
3,L,2
0.4,S,6
0.4,S,7
0.4,S,0
1,S,1
0.4,S,3
0.4,S,5
0.4,S,7
2.5,M,2
0.5,M,4
1,S,0
0.4,S,1
0.4,S,3
0.4,S,5
0.4,S,7
1,S,1
0.5,S,2
2.5,M,3
0.5,M,5
0.4,S,7
1,S,0
3,L,2
10,S,1
1,S,3
0.4,S,4
0.4,S,6
0.4,S,7
0.5,M,0
3,L,2
4,L,2
1,S,3
0.4,S,4
0.5,S,5
0.4,S,7
3,L,2
1,S,1
2.5,M,3
0.5,M,4
1,S,6
0.4,S,7
1,S,1
0.5,S,2
0.4,S,3
0.4,S,4
0.4,S,5
1,S,6
0.4,S,7
0.5,M,0
2,M,1
1,S,3
0.4,S,4
0.4,S,5
3,L,2
0.4,S,6
0.4,S,7
0.4,S,0
1,S,1
0.4,S,3
0.4,S,5
0.4,S,7
2.5,M,2
0.5,M,4
1,S,0
0.4,S,1
0.4,S,3
0.4,S,5
0.4,S,7
1,S,1
0.5,S,2
2.5,M,3
0.5,M,5
0.4,S,7
1,S,0
3,L,2
10,S,1
1,S,3
0.4,S,4
0.4,S,6
0.4,S,7
0.5,M,0
3,L,2
4,L,2
1,S,3
0.4,S,4
0.5,S,5
0.4,S,7
3,L,2
1,S,1
2.5,M,3
0.5,M,4
1,S,6
0.4,S,7
1,S,3
0.4,S,4
0.4,S,5
3,L,2
0.4,S,6
0.4,S,7
0.4,S,0
1,S,1
0.4,S,3
0.4,S,5
0.4,S,7
2.5,M,2
0.5,M,4
1,S,0
0.4,S,1
0.4,S,3
0.4,S,5
0.4,S,7
1,S,1
0.5,S,2
2.5,M,3
0.5,M,5
0.4,S,7
1,S,0
3,L,2
10,S,1
1,S,3
0.4,S,4
0.4,S,6
0.4,S,7
0.5,M,0
3,L,2
4,L,2
1,S,3
0.4,S,4
0.5,S,5
0.4,S,7
3,L,2
1,S,1
2.5,M,3
0.5,M,4
1,S,6
0.4,S,7
1,S,1
0.5,S,2
2.5,M,3
0.5,M,5
0.4,S,7
1,S,0
3,L,2
10,S,1
1,S,3
0.4,S,4
0.4,S,6
0.4,S,7
0.5,M,0
3,L,2
4,L,2
1,S,3
0.4,S,4
0.5,S,5
0.4,S,7
3,L,2
1,S,1
2.5,M,3
0.5,M,4
1,S,6
0.4,S,7
1,S,3
0.4,S,4
0.4,S,5
3,L,2
0.5,S,2
0.4,S,3
0.4,S,4
0.4,S,5
1,S,6
0.4,S,7
0.5,M,0
2,M,1
1,S,3
0.4,S,4
0.4,S,5
3,L,2
0.4,S,6
0.4,S,7
0.4,S,0
1,S,1
0.4,S,3
0.4,S,5
0.4,S,7
2.5,M,2
0.5,M,4
1,S,0
0.4,S,1
0.4,S,3
0.4,S,5
0.4,S,7
1,S,1
0.5,S,2
2.5,M,3
0.5,M,5
0.4,S,7
3,L,2
0.4,S,6
0.4,S,7
0.4,S,0
1,S,1
0.4,S,3
0.4,S,5
0.4,S,7
2.5,M,2
0.5,M,4
1,S,0
0.4,S,1
0.4,S,3
0.4,S,5
0.4,S,7
1,S,1
0.5,S,2
2.5,M,3
0.5,M,5
0.4,S,7
1,S,0
3,L,2
10,S,1
1,S,3
0.4,S,4
0.4,S,6
0.4,S,7
0.5,M,0
3,L,2
4,L,2
1,S,3
0.4,S,4
0.5,S,5
0.4,S,7
0.4,S,3
0.4,S,5
0.4,S,7
2.5,M,2
0.5,M,4
1,S,0
0.4,S,1
0.4,S,3
0.4,S,5
0.4,S,7
1,S,1
0.5,S,2
2.5,M,3
0.5,M,5
0.4,S,7
3,L,2
0.4,S,6
0.4,S,7
0.4,S,0
1,S,1
0.4,S,3
0.4,S,5
0.4,S,7
2.5,M,2
0.5,M,4
4,L,2
1,S,3
0.4,S,4
0.5,S,5
0.4,S,7
3,L,2
1,S,1
2.5,M,3
0.5,M,4
1,S,6
0.4,S,7
1,S,3
0.4,S,4
0.4,S,5
3,L,2
0.4,S,6
0.4,S,7
0.4,S,0
1,S,1
0.4,S,3
0.4,S,5
0.4,S,7
2.5,M,2
0.5,M,4
1,S,0
0.4,S,1
0.4,S,3
0.4,S,5
0.4,S,7
1,S,1
0.5,S,2
2.5,M,3
0.5,M,5
0.4,S,7
1,S,0
3,L,2
10,S,1
1,S,3
0.4,S,4
0.4,S,6
0.4,S,7
0.5,M,0
3,L,2
4,L,2
1,S,3
0.5,S,2
2.5,M,3
0.5,M,5
0.4,S,7
1,S,0
3,L,2
10,S,1
1,S,3
0.4,S,4
0.4,S,6
0.4,S,7
0.5,M,0
3,L,2
4,L,2
1,S,3
0.4,S,4
0.5,S,5
0.4,S,7
3,L,2
1,S,1
2.5,M,3
0.5,M,4
1,S,6
0.4,S,7
1,S,3
0.4,S,4
0.4,S,5
3,L,2
0.4,S,6
0.4,S,7
0.4,S,0
1,S,1
0.4,S,3
0.4,S,5
0.4,S,7
2.5,M,2
0.5,M,4
1,S,0
0.4,S,1
0.4,S,3
0.4,S,5
0.4,S,7
0.4,S,7
1,S,3
0.4,S,4
0.4,S,5
3,L,2
0.4,S,6
0.4,S,7
0.4,S,0
1,S,1
0.4,S,3
0.4,S,5
0.4,S,7
2.5,M,2
0.5,M,4
1,S,0
0.4,S,1
0.4,S,3
0.4,S,5
0.4,S,7
1,S,1
0.5,S,2
2.5,M,3
0.5,M,5
0.4,S,7
1,S,0
3,L,2
10,S,1
1,S,3
0.4,S,4
0.4,S,6
0.4,S,7
0.5,M,0
3,L,2
4,L,2
1,S,3
0.4,S,4
0.5,S,5
0.4,S,7
3,L,2
1,S,1
2.5,M,3
0.5,M,4
1,S,6
0.4,S,7
1,S,1
0.5,S,2
2.5,M,3
0.5,M,5
0.4,S,7
1,S,0
3,L,2
10,S,1
1,S,3
0.4,S,4
0.4,S,6
0.4,S,7
0.5,M,0
3,L,2
4,L,2
1,S,3
0.4,S,4
0.5,S,5
0.4,S,7
3,L,2
1,S,1
2.5,M,3
0.5,M,4
1,S,6
0.4,S,7
1,S,3
0.4,S,4
0.4,S,5
1,S,1
0.4,S,3
0.4,S,5
0.4,S,7
2.5,M,2
0.5,M,4
1,S,0
0.4,S,1
0.4,S,3
0.4,S,5
0.4,S,7
0.4,S,7
1,S,3
0.4,S,4
0.4,S,5
3,L,2
0.4,S,6
0.4,S,7
0.4,S,0
1,S,1
0.4,S,3
0.4,S,5
0.4,S,7
2.5,M,2
0.5,M,4
1,S,0
0.4,S,1
0.4,S,3
0.4,S,5
0.4,S,7
1,S,1
0.5,S,2
2.5,M,3
0.5,M,5
0.4,S,7
1,S,0
3,L,2
10,S,1
1,S,3
0.4,S,4
0.4,S,6
0.4,S,7
0.5,M,0
3,L,2
4,L,2
1,S,3
0.4,S,4
0.5,S,5
0.4,S,7
3,L,2
1,S,1
2.5,M,3
0.5,M,4
1,S,6
0.4,S,7
1,S,1
0.5,S,2
2.5,M,3
0.5,M,5
0.4,S,7
0.4,S,0
1,S,1
0.4,S,3
0.4,S,5
0.4,S,7
2.5,M,2
0.5,M,4
1,S,0
0.4,S,1
0.4,S,3
0.4,S,5
0.4,S,7
1,S,1
0.5,S,2
2.5,M,3
0.5,M,5
1,S,3
0.4,S,4
0.4,S,6
0.4,S,7
0.5,M,0
3,L,2
